idx,feasible,V,rho_mean,ref_obj,model_obj,gap,ref_cost,model_cost,ref_cov,model_cov
329,1,4,1.875,-0.391328,-0.365312,0.026016,361,337,361,337
350,1,2,3.0,-0.397163,-0.363121,0.034043,140,128,140,128
351,1,4,1.0,-0.188205,-0.188205,0.0,195,195,136,136
290,1,3,3.0,-0.38285,-0.299736,0.083113,368,340,365,308
291,1,4,3.0,-0.398995,-0.285427,0.113568,397,305,397,293
336,1,2,3.0,-0.395161,-0.31129,0.083871,245,193,245,193
337,1,3,2.0,-0.382833,-0.333047,0.049785,223,194,223,194
344,1,4,2.0,-0.39397,-0.386935,0.007035,392,385,392,385
345,1,4,1.375,-0.393056,-0.315278,0.077778,283,227,283,227
330,1,4,2.125,-0.384541,-0.331643,0.052899,398,366,398,353
331,1,2,2.0,-0.39802,-0.360396,0.037624,201,182,201,182
352,1,3,1.0,-0.326316,-0.326316,0.0,114,114,102,102
353,1,2,2.5,-0.39403,-0.368159,0.025871,198,185,198,185
338,1,4,1.375,-0.389105,-0.381323,0.007782,257,245,253,245
339,1,2,3.0,-0.4,-0.371542,0.028458,253,235,253,235
218,1,4,3.0,-0.398367,-0.387959,0.010408,488,484,488,479
219,1,2,2.25,-0.398148,-0.357407,0.040741,215,193,215,193
354,1,2,3.0,-0.4,-0.336508,0.063492,252,212,252,212
355,1,2,1.5,-0.392771,-0.325301,0.06747,163,135,163,135
370,1,2,1.0,-0.4,-0.4,0.0,104,104,104,104
371,1,2,1.0,-0.05,-0.05,0.0,78,78,39,39
360,1,3,1.667,-0.392627,-0.183871,0.208756,213,161,213,126
361,1,2,1.5,-0.397753,-0.352809,0.044944,177,157,177,157
364,1,2,1.0,-0.4,-0.4,0.0,126,126,126,126
365,1,4,2.0,-0.396703,-0.338462,0.058242,361,308,361,308
368,1,2,1.5,-0.389262,-0.332886,0.056376,145,124,145,124
369,1,2,1.5,-0.379487,-0.348718,0.030769,148,136,148,136
366,1,3,2.0,-0.396694,-0.127686,0.269008,240,170,240,117
367,1,4,1.125,-0.398419,-0.368379,0.03004,252,233,252,233
318,1,3,3.0,-0.397884,-0.356614,0.04127,376,344,376,340
319,1,2,3.0,-0.398374,-0.349593,0.04878,245,215,245,215
270,1,4,1.5,-0.395107,-0.347401,0.047706,323,291,323,287
271,1,4,3.0,-0.399143,-0.362313,0.036831,466,423,466,423
372,1,2,1.0,-0.4,-0.4,0.0,106,106,106,106
373,1,2,2.0,-0.396226,-0.364151,0.032075,210,193,210,193
374,1,3,1.0,-0.343353,-0.343353,0.0,173,173,159,159
375,1,4,2.0,-0.373162,-0.328676,0.044485,266,255,259,237
376,1,2,1.5,-0.348276,-0.325,0.023276,101,103,101,98
377,1,4,1.625,-0.395181,-0.358434,0.036747,328,308,328,302
382,1,2,1.75,-0.348538,-0.329825,0.018713,149,141,149,141
383,1,3,2.0,-0.393007,-0.335315,0.057692,281,252,281,245
356,1,4,2.625,-0.395208,-0.317292,0.077917,476,428,475,401
357,1,3,1.833,-0.390654,-0.360748,0.029907,209,193,209,193
388,1,2,1.0,-0.4,-0.4,0.0,97,97,97,97
389,1,2,3.0,-0.395313,-0.233984,0.161328,253,253,253,194
386,1,3,1.0,-0.202685,-0.202685,0.0,149,149,107,107
387,1,4,2.0,-0.378635,-0.356083,0.022552,319,300,319,300
380,1,2,2.25,-0.398261,-0.302174,0.096087,229,193,229,182
381,1,4,1.0,-0.154839,-0.154839,0.0,217,217,141,141
390,1,4,1.5,-0.394062,-0.2625,0.131562,317,252,316,228
391,1,4,1.0,-0.266007,-0.266007,0.0,303,303,245,245
342,1,3,3.0,-0.394595,-0.334324,0.06027,365,339,365,322
343,1,3,1.5,-0.386341,-0.359024,0.027317,198,184,198,184
348,1,2,3.0,-0.396825,-0.315873,0.080952,250,199,250,199
349,1,2,2.0,-0.4,-0.347429,0.052571,175,152,175,152
384,1,3,1.667,-0.4,-0.370642,0.029358,218,202,218,202
385,1,2,2.0,-0.397849,-0.389247,0.008602,185,181,185,181
362,1,2,1.5,-0.392053,-0.312583,0.07947,148,118,148,118
363,1,2,2.5,-0.398347,-0.398347,0.0,241,241,241,241
398,1,3,3.0,-0.397878,-0.307958,0.08992,375,348,375,315
399,1,2,1.75,-0.39397,-0.363819,0.030151,196,181,196,181
378,1,3,2.0,-0.388889,-0.282407,0.106481,315,297,315,258
379,1,3,3.0,-0.4,-0.335905,0.064095,337,297,337,289
298,1,3,3.0,-0.397867,-0.368533,0.029333,373,363,373,353
299,1,2,1.0,-0.4,-0.4,0.0,57,57,57,57
394,1,2,3.0,-0.4,-0.351417,0.048583,247,217,247,217
395,1,2,1.0,-0.4,-0.4,0.0,83,83,83,83
340,1,2,1.5,-0.4,-0.306977,0.093023,129,99,129,99
341,1,4,3.0,-0.395565,-0.358266,0.037298,494,481,492,460
358,1,3,3.0,-0.397605,-0.335329,0.062275,332,280,332,280
359,1,4,2.5,-0.396288,-0.32993,0.066357,427,366,427,360
396,1,2,2.25,-0.395855,-0.296373,0.099482,191,143,191,143
397,1,4,3.0,-0.397122,-0.371223,0.025899,414,394,414,390
392,1,4,3.0,-0.4,-0.338604,0.061396,487,435,487,422
393,1,3,1.333,-0.396078,-0.372549,0.023529,202,190,202,190
334,1,4,2.125,-0.396931,-0.354731,0.042199,388,352,388,349
335,1,4,3.0,-0.396813,-0.292829,0.103984,498,434,498,396
