,id,Speed,Flow,Density
317,E17_0,12.27,1436.4734400000002,32.52
318,E17_1,14.49,1439.7264000000002,27.6
319,E18_1,14.38,719.9203200000001,13.906666666666666
320,E25_0,13.27,1439.5296,30.133333333333333
321,E25_1,13.41,428.69087999999994,8.879999999999999
322,E29_0,14.3,1307.5919999999999,25.4
323,E29_1,14.58,1440.27072,27.439999999999998
324,E34_0,16.22,720.168,12.333333333333334
325,E34_1,15.8,719.7216000000001,12.653333333333334
326,E39_0,12.73,719.8051200000001,15.706666666666667
327,-E6_1,12.84,1365.1488000000002,29.533333333333335
328,-E19_0,13.96,1440.6720000000003,28.666666666666668
329,-E28_1,14.61,720.2145599999999,13.693333333333332
330,E101_0,10.11,720.15552,19.78666666666667
331,E104_0,12.76,1439.9404800000002,31.34666666666667
332,E104_1,13.09,2160.1641600000003,45.84
333,E106_0,11.39,720.03024,17.56
334,E110_0,12.46,1440.17664,32.10666666666666
335,E114_0,15.29,719.9755200000001,13.080000000000002
336,E115_0,7.25,2550.84,97.73333333333333
337,E115_1,9.24,1893.8303999999998,56.93333333333333
338,E117_0,15.3,720.4464000000002,13.080000000000002
339,E118_1,0.52,486.57024,259.92
340,E119_0,11.84,720.0614400000001,16.893333333333334
341,E119_1,12.36,1642.79232,36.92
342,E120_1,13.82,719.7456000000001,14.466666666666667
343,E13_1,13.17,577.1620800000002,12.173333333333336
344,E18_0,13.06,1638.0374400000003,34.84
345,E18_1,15.26,720.02784,13.106666666666666
346,E29_0,12.92,3401.5776000000005,73.13333333333334
347,E29_1,14.05,4321.5552,85.44
348,E30_1,12.96,719.74656,15.426666666666668
349,E34_0,12.28,720.2956800000001,16.293333333333333
350,E38_0,14.26,720.07296,14.026666666666666
351,-E8_0,14.8,1385.28,26.0
352,-E15_0,14.06,720.0969600000001,14.226666666666667
353,-E15_1,14.11,719.9486400000001,14.173333333333336
354,-E20_0,14.95,719.7528,13.373333333333333
355,-E22_0,14.45,719.9568000000002,13.840000000000002
356,-E24_0,13.4,719.7407999999999,14.919999999999998
357,-E27_0,12.81,720.0244800000002,15.613333333333335
358,-E27_1,13.47,801.7344000000002,16.533333333333335
359,-E28_0,10.83,3953.9030400000006,101.41333333333334
360,-E28_1,12.27,2879.42544,65.18666666666667
361,-E32_0,14.7,719.712,13.6
362,-E32_1,14.92,720.4569600000001,13.413333333333334
363,-E35_0,13.95,1440.3096,28.680000000000003
364,-E35_1,16.01,720.0657600000001,12.493333333333332
365,-E40_0,14.31,2566.1836800000005,49.81333333333334
366,-E40_1,14.48,2160.18432,41.43999999999999
367,E101_1,12.75,720.324,15.693333333333332
368,E105_0,11.36,719.7696000000001,17.6
369,E106_0,13.26,719.8588800000001,15.080000000000002
370,E107_0,13.75,720.06,14.546666666666665
371,E107_1,12.4,1440.384,32.266666666666666
372,E108_0,0.3,279.96479999999997,259.22666666666663
373,E108_1,0.32,298.96704,259.52
374,E109_0,14.53,1439.51616,27.52
375,E109_1,14.55,1440.1008000000004,27.493333333333336
376,E110_0,14.0,719.7120000000001,14.280000000000001
377,E111_0,13.88,1439.7446400000001,28.813333333333333
378,E112_1,0.92,533.3203200000002,161.02666666666667
379,E113_0,11.9,720.2832,16.813333333333333
380,E113_1,14.47,925.15392,17.759999999999998
381,E114_0,11.24,720.2592000000001,17.8
382,E114_1,12.49,720.02352,16.013333333333332
383,E116_0,14.15,1439.9040000000002,28.266666666666666
384,E117_0,13.76,719.9232000000001,14.533333333333333
385,E118_0,1.13,138.96287999999998,34.16
386,E118_1,1.49,256.18464,47.76
387,E119_0,10.08,720.4377600000001,19.853333333333335
388,E119_1,9.59,4.14288,0.11999999999999998
389,E120_0,12.39,625.05072,14.013333333333332
390,E9_0,13.04,1406.4422399999999,29.959999999999997
391,E9_1,13.95,1439.6399999999999,28.666666666666668
392,E13_0,14.39,720.42096,13.906666666666666
393,E14_0,13.69,880.5408,17.866666666666667
394,E14_1,13.07,1439.7912000000001,30.6
395,E17_0,13.28,719.66976,15.053333333333333
396,E18_0,13.44,1324.43136,27.373333333333335
397,E29_0,13.42,1813.95456,37.54666666666667
398,E29_1,14.88,1440.6220800000003,26.893333333333334
399,E33_0,11.57,2250.87408,54.04
400,E33_1,14.17,814.15152,15.96
401,E37_0,13.85,1619.4527999999998,32.48
402,E38_0,12.06,720.12672,16.586666666666666
403,-E3_1,13.43,720.0628800000001,14.893333333333334
404,-E8_0,14.84,773.57952,14.479999999999999
405,-E8_1,16.32,524.06784,8.92
406,-E11_0,13.28,1440.6144,30.133333333333333
407,-E11_1,11.46,1440.1094400000002,34.906666666666666
408,-E16_0,14.01,719.5536000000001,14.266666666666667
409,-E19_0,13.21,720.31488,15.146666666666667
410,-E20_0,14.49,1440.4219200000002,27.613333333333337
411,-E24_0,11.09,1440.4579199999998,36.08
412,-E27_1,13.48,637.98144,13.146666666666667
