cell_id,x,y
A0.-E29.C3,0.5,8
A0.-E29.C2,0.75,7
A0.-E29.C1,0.25,7
A0.-E30.C7,0.75,5
A0.-E30.C6,0.25,5
A0.-E30.C5,0.5,4
A0.-E30.C4,0.5,3
A0.-E30.C3,0.5,2
A0.-E30.C2,0.75,1
A0.-E30.C1,0.25,1
A0.-E31.C7,0.75,-1
A0.-E31.C6,0.25,-1
A0.-E31.C5,0.5,-2
A0.-E31.C4,0.5,-3
A0.-E31.C3,0.5,-4
A0.-E31.C2,0.75,-5
A0.-E31.C1,0.25,-5
A0.-E32.C7,0.75,-7
A0.-E32.C6,0.25,-7
A0.-E32.C5,0.5,-8
A0.-E32.C4,0.5,-9
A0.-E32.C3,0.5,-10
A0.-E32.C2,0.75,-11
A0.-E32.C1,0.25,-11
A1.E114.C7,0.75,-13
A1.E114.C6,0.25,-13
A1.E114.C5,0.5,-14
A1.E114.C4,0.5,-15
A1.E114.C0,0.5,-16

A1.-E105.C0,6.5,16
A1.-E105.C4,6.5,15
A1.-E105.C3,6.5,14
A1.-E105.C2,6.75,13
A1.-E105.C1,6.25,13
A0.-E33.C7,6.75,11
A0.-E33.C6,6.25,11
A0.-E33.C5,6.5,10
A0.-E33.C4,6.5,9
A0.-E33.C3,6.5,8
A0.-E33.C2,6.75,7
A0.-E33.C1,6.25,7
A0.-E34.C7,6.75,5
A0.-E34.C6,6.25,5
A0.-E34.C5,6.5,4
A0.-E34.C4,6.5,3
A0.-E34.C3,6.5,2
A0.-E34.C2,6.75,1
A0.-E34.C1,6.25,1
A0.-E35.C7,6.75,-1
A0.-E35.C6,6.25,-1
A0.-E35.C5,6.5,-2
A0.-E35.C4,6.5,-3
A0.-E35.C3,6.5,-4
A0.-E35.C2,6.75,-5
A0.-E35.C1,6.25,-5
A0.-E36.C7,6.75,-7
A0.-E36.C6,6.25,-7
A0.-E36.C5,6.5,-8
A0.-E36.C4,6.5,-9
A0.-E36.C3,6.5,-10
A0.-E36.C2,6.75,-11
A0.-E36.C1,6.25,-11
A1.E113.C7,6.75,-13
A1.E113.C6,6.25,-13
A1.E113.C5,6.5,-14
A1.E113.C4,6.5,-15
A1.E113.C0,6.5,-16

A1.-E106.C0,12.5,16
A1.-E106.C4,12.5,15
A1.-E106.C3,12.5,14
A1.-E106.C2,12.75,13
A1.-E106.C1,12.25,13
A0.-E37.C7,12.75,11
A0.-E37.C6,12.25,11
A0.-E37.C5,12.5,10
A0.-E37.C4,12.5,9
A0.-E37.C3,12.5,8
A0.-E37.C2,12.75,7
A0.-E37.C1,12.25,7
A0.-E38.C7,12.75,5
A0.-E38.C6,12.25,5
A0.-E38.C5,12.5,4
A0.-E38.C4,12.5,3
A0.-E38.C3,12.5,2
A0.-E38.C2,12.75,1
A0.-E38.C1,12.25,1
A0.-E39.C7,12.75,-1
A0.-E39.C6,12.25,-1
A0.-E39.C5,12.5,-2
A0.-E39.C4,12.5,-3
A0.-E39.C3,12.5,-4
A0.-E39.C2,12.75,-5
A0.-E39.C1,12.25,-5
A0.-E40.C7,12.75,-7
A0.-E40.C6,12.25,-7
A0.-E40.C5,12.5,-8
A0.-E40.C4,12.5,-9
A0.-E40.C3,12.5,-10
A0.-E40.C2,12.75,-11
A0.-E40.C1,12.25,-11
A1.E112.C7,12.75,-13
A1.E112.C6,12.25,-13
A1.E112.C5,12.5,-14
A1.E112.C4,12.5,-15
A1.E112.C0,12.5,-16
